iter	Passed	Remaining
1084	28174	23759
1085	28198	23732
1086	28224	23706
1087	28272	23698
1088	28296	23671
1089	28322	23645
1090	28347	23618
1091	28371	23591
1092	28396	23564
1093	28421	23537
1094	28447	23511
1095	28479	23490
1096	28509	23467
1097	28534	23440
1098	28559	23414
1099	28589	23391
1100	28616	23366
1101	28641	23339
1102	28666	23312
1103	28692	23286
1104	28717	23259
1105	28742	23232
1106	28767	23206
1107	28791	23179
1108	28816	23151
1109	28841	23125
1110	28866	23098
1111	28893	23073
1112	28918	23046
1113	28943	23019
1114	28969	22993
1115	28994	22966
1116	29019	22940
1117	29043	22912
1118	29068	22885
1119	29094	22860
1120	29119	22832
1121	29144	22806
1122	29169	22779
1123	29194	22752
1124	29219	22726
1125	29244	22699
1126	29292	22690
1127	29316	22663
1128	29342	22637
1129	29367	22610
1130	29391	22583
1131	29416	22556
1132	29441	22529
1133	29466	22502
1134	29490	22475
1135	29515	22448
1136	29539	22421
1137	29564	22394
1138	29589	22367
1139	29614	22340
1140	29639	22314
1141	29664	22287
1142	29689	22260
1143	29713	22233
1144	29738	22206
1145	29763	22179
1146	29788	22152
1147	29813	22126
1148	29839	22100
1149	29863	22073
1150	29888	22046
1151	29913	22019
1152	29938	21992
1153	29962	21965
1154	29989	21940
1155	30014	21913
1156	30039	21886
1157	30063	21859
1158	30088	21833
1159	30113	21806
1160	30138	21779
1161	30162	21752
1162	30189	21726
1163	30215	21700
1164	30240	21674
1165	30266	21648
1166	30317	21640
1167	30343	21614
1168	30370	21588
1169	30397	21563
1170	30423	21538
1171	30450	21512
1172	30475	21486
1173	30501	21460
1174	30527	21433
1175	30551	21407
1176	30581	21383
1177	30606	21357
1178	30631	21330
1179	30655	21303
1180	30680	21276
1181	30705	21249
1182	30730	21222
1183	30754	21195
1184	30779	21168
1185	30803	21141
1186	30829	21115
1187	30853	21088
1188	30878	21061
1189	30902	21034
1190	30927	21007
1191	30952	20980
1192	30976	20953
1193	31001	20927
1194	31026	20900
1195	31050	20873
1196	31075	20846
1197	31099	20819
1198	31123	20792
1199	31148	20765
1200	31173	20739
1201	31198	20712
1202	31223	20685
1203	31248	20659
1204	31273	20632
1205	31306	20611
1206	31366	20607
1207	31396	20584
1208	31421	20557
1209	31446	20531
1210	31471	20504
1211	31496	20477
1212	31520	20450
1213	31545	20424
1214	31570	20397
1215	31594	20370
1216	31620	20343
1217	31644	20317
1218	31669	20290
1219	31694	20263
1220	31718	20236
1221	31744	20210
1222	31768	20183
1223	31793	20156
1224	31817	20129
1225	31842	20103
1226	31867	20076
1227	31892	20049
1228	31916	20022
1229	31940	19995
1230	31965	19968
1231	31990	19941
1232	32014	19915
1233	32039	19888
1234	32064	19861
1235	32088	19834
1236	32113	19808
1237	32138	19781
1238	32163	19755
1239	32189	19729
1240	32214	19702
1241	32239	19676
1242	32264	19649
1243	32289	19622
1244	32314	19596
1245	32340	19570
1246	32388	19558
1247	32413	19531
1248	32438	19504
1249	32463	19478
1250	32488	19451
1251	32513	19424
1252	32537	19397
1253	32562	19371
1254	32587	19344
1255	32613	19318
1256	32644	19295
1257	32674	19272
1258	32700	19246
1259	32725	19219
1260	32755	19195
1261	32781	19170
1262	32806	19143
1263	32830	19116
1264	32855	19089
1265	32879	19062
1266	32904	19036
1267	32928	19009
1268	32953	18982
1269	32978	18955
1270	33002	18929
1271	33027	18902
1272	33051	18875
1273	33076	18848
1274	33100	18821
1275	33125	18795
1276	33150	18768
1277	33175	18742
1278	33200	18715
1279	33224	18688
1280	33249	18662
1281	33273	18635
1282	33298	18608
1283	33324	18582
1284	33349	18556
1285	33393	18540
1286	33422	18516
1287	33447	18489
1288	33472	18463
1289	33498	18436
1290	33522	18410
1291	33547	18383
1292	33572	18357
1293	33597	18330
1294	33622	18303
1295	33646	18277
1296	33671	18250
1297	33695	18223
1298	33720	18197
1299	33744	18170
1300	33769	18143
1301	33794	18117
1302	33820	18090
1303	33844	18064
1304	33869	18038
1305	33895	18011
1306	33919	17984
1307	33944	17958
1308	33968	17931
1309	33995	17906
1310	34022	17880
1311	34048	17854
1312	34073	17828
1313	34098	17802
1314	34123	17775
1315	34148	17748
1316	34173	17722
1317	34197	17695
1318	34222	17668
1319	34247	17642
1320	34272	17616
1321	34298	17590
1322	34323	17563
1323	34348	17537
1324	34373	17511
1325	34400	17485
1326	34447	17470
1327	34472	17443
1328	34497	17417
1329	34522	17391
1330	34548	17364
1331	34572	17338
1332	34597	17311
1333	34622	17285
1334	34646	17258
1335	34671	17231
1336	34696	17205
1337	34720	17178
1338	34746	17152
1339	34770	17125
1340	34795	17099
1341	34820	17072
1342	34845	17046
1343	34870	17020
1344	34896	16993
1345	34920	16967
1346	34945	16940
1347	34969	16914
1348	34996	16888
1349	35020	16861
1350	35045	16835
1351	35069	16808
1352	35094	16781
1353	35118	16755
1354	35143	16728
1355	35168	16702
1356	35193	16675
1357	35218	16649
1358	35242	16622
1359	35273	16599
1360	35297	16572
1361	35323	16546
1362	35348	16520
1363	35373	16493
1364	35398	16467
1365	35423	16441
1366	35472	16426
1367	35498	16399
1368	35522	16373
1369	35547	16346
1370	35571	16320
1371	35596	16293
1372	35621	16267
1373	35646	16240
1374	35671	16214
1375	35695	16187
1376	35720	16161
1377	35745	16134
1378	35770	16108
1379	35794	16081
1380	35820	16055
1381	35844	16028
1382	35869	16002
1383	35894	15976
1384	35919	15949
1385	35944	15923
1386	35969	15897
1387	35994	15870
1388	36019	15844
1389	36043	15817
1390	36068	15791
1391	36093	15764
1392	36117	15738
1393	36143	15712
1394	36168	15685
1395	36192	15659
1396	36217	15632
1397	36242	15606
1398	36268	15580
1399	36292	15554
1400	36318	15528
1401	36343	15501
1402	36368	15475
1403	36393	15448
1404	36417	15422
1405	36442	15396
1406	36495	15381
1407	36520	15355
1408	36546	15329
1409	36571	15303
1410	36596	15276
1411	36620	15249
1412	36644	15223
1413	36670	15197
1414	36694	15170
1415	36719	15144
1416	36745	15118
1417	36770	15091
1418	36798	15067
1419	36829	15043
1420	36858	15018
1421	36885	14992
1422	36915	14968
1423	36942	14943
1424	36968	14917
1425	36994	14891
1426	37019	14864
1427	37050	14840
1428	37076	14814
1429	37101	14788
1430	37125	14762
1431	37150	14735
1432	37175	14709
1433	37200	14682
1434	37224	14656
1435	37249	14630
1436	37274	14603
1437	37299	14577
1438	37324	14551
1439	37349	14524
1440	37373	14498
1441	37399	14472
1442	37423	14445
1443	37448	14419
1444	37472	14392
1445	37525	14377
1446	37550	14350
1447	37575	14324
1448	37600	14297
1449	37625	14271
1450	37650	14245
1451	37678	14220
1452	37702	14193
1453	37728	14167
1454	37753	14141
1455	37777	14114
1456	37804	14089
1457	37829	14062
1458	37854	14036
1459	37879	14010
1460	37904	13983
1461	37928	13957
1462	37953	13931
1463	37978	13904
1464	38003	13878
1465	38027	13851
1466	38052	13825
1467	38077	13799
1468	38102	13772
1469	38126	13746
1470	38152	13720
1471	38176	13693
1472	38201	13667
1473	38226	13641
1474	38250	13614
1475	38275	13588
1476	38301	13562
1477	38327	13536
1478	38355	13511
1479	38382	13485
1480	38409	13460
1481	38436	13434
1482	38465	13409
1483	38494	13384
1484	38547	13368
1485	38573	13342
1486	38597	13315
1487	38622	13289
1488	38646	13262
1489	38673	13237
1490	38698	13210
1491	38723	13184
1492	38748	13158
1493	38774	13132
1494	38803	13107
1495	38831	13082
1496	38857	13056
1497	38882	13030
1498	38907	13003
1499	38932	12977
1500	38959	12952
1501	38986	12926
1502	39011	12900
1503	39037	12873
1504	39062	12847
1505	39087	12821
1506	39111	12794
1507	39135	12768
1508	39160	12742
1509	39185	12715
1510	39210	12689
1511	39235	12663
1512	39260	12636
1513	39284	12610
1514	39310	12584
1515	39335	12558
1516	39360	12532
1517	39391	12507
1518	39420	12482
1519	39446	12456
1520	39470	12430
1521	39496	12404
1522	39528	12380
1523	39616	12373
1524	39652	12350
1525	39684	12326
1526	39718	12303
1527	39744	12277
1528	39769	12250
1529	39794	12224
1530	39820	12198
1531	39844	12171
1532	39868	12145
1533	39893	12118
1534	39918	12092
1535	39942	12065
1536	39966	12039
1537	39991	12012
1538	40015	11986
1539	40040	11960
1540	40065	11933
1541	40089	11907
1542	40115	11881
1543	40140	11854
1544	40165	11828
1545	40192	11802
1546	40220	11777
1547	40245	11751
1548	40270	11724
1549	40295	11698
1550	40320	11672
1551	40347	11646
1552	40372	11620
1553	40398	11594
1554	40423	11568
1555	40453	11543
1556	40482	11518
1557	40511	11493
1558	40539	11467
1559	40564	11441
1560	40589	11415
1561	40642	11396
1562	40666	11370
1563	40691	11343
1564	40716	11317
1565	40741	11290
1566	40771	11266
1567	40797	11240
1568	40824	11214
1569	40854	11189
1570	40880	11163
1571	40905	11137
1572	40930	11110
1573	40955	11084
1574	40980	11058
1575	41005	11031
1576	41029	11005
1577	41055	10979
1578	41080	10953
1579	41105	10926
1580	41130	10900
1581	41156	10874
1582	41182	10848
1583	41209	10822
1584	41235	10796
1585	41261	10770
1586	41287	10744
1587	41313	10718
1588	41339	10692
1589	41368	10667
1590	41399	10642
1591	41429	10617
1592	41458	10592
1593	41490	10567
1594	41516	10541
1595	41543	10516
1596	41569	10490
1597	41595	10464
1598	41620	10437
1599	41675	10418
